Solution,Latitude,Longitude,Type
43,41.7369803,-111.8338359,Cryopreservation
44,42.0697509,-87.7878408,Manufacturing
44,32.8140177,-96.9488945,Manufacturing
44,34.2284312,-92.0031955,Manufacturing
44,40.7878788,-74.0143064,Manufacturing
44,41.7369803,-111.8338359,Cryopreservation
45,42.0697509,-87.7878408,Manufacturing
45,32.8140177,-96.9488945,Manufacturing
45,34.2284312,-92.0031955,Manufacturing
45,40.7878788,-74.0143064,Manufacturing
45,35.9606384,-83.9207392,Cryopreservation
45,41.7369803,-111.8338359,Cryopreservation
46,35.1495343,-90.0489801,Manufacturing
47,35.0886963,-92.4421011,Manufacturing
47,42.0697509,-87.7878408,Manufacturing
47,34.7464809,-92.2895948,Manufacturing
48,35.0886963,-92.4421011,Manufacturing
48,42.0697509,-87.7878408,Manufacturing
48,34.7464809,-92.2895948,Manufacturing
48,35.9606384,-83.9207392,Cryopreservation
49,35.0886963,-92.4421011,Manufacturing
49,42.0697509,-87.7878408,Manufacturing
49,34.7464809,-92.2895948,Manufacturing
49,35.9606384,-83.9207392,Cryopreservation
49,41.7369803,-111.8338359,Cryopreservation
